[6,0] 94276870568134995032567379566065734910035348742672509886305948557274139015231598561922893465926900083694225908725414575280273099497912051701174880800026895799029315968041864224869927418724918721820908325965906673358390641715429465449601603502040453289328365739666204813280135009206829266486609280185668608352347229252490828144642308758563242531569761305216597373417190463785694435124660402890908652627723822851523957742404073936652041922125316119145196464628142842547191545970390718349309042159583357167015407524042258859749291718907777592656378124759594102185263095980623688527313275298216642233401600302024443138962281924129860590641572548544931421022574861730551592628508833271779728803826798447284995073375155688167465444811604148355940843565215656903712810668962469528546557968810271200187295631846314204031571323115468429692373834189493554672687600357335377212277977714577793674838850198635391604476310062358675209747289315527836944501197075373127200243522089434348035510889427597731871077968435201910324394702911376953125000000000000000000000000000000000000000000000000000
[6,1] 38360289913120580256827867899781620338112544065150477491221826336397818299946499271700684816128332129978047154460582253887372455574573041247786484122645257858019140935232316800989888834751223496813354012866185678002010244644655041544588158031304066347706883687926605995946699063127356955152745703850363417714247048149460896614263713597778155050214242616301533563158675531188562399906859222835905927876952434294170198978703450567761060027736728818797711339111765137706753180870276413128868734462345707247374846574082206235818111008252714942139082813573648722129052729373142217753389742199287879989140924612990444186181852302853383983780903057474031939837560023007744651992653408958930423833337005077426631296969578334369532976853400852359474993322358089643899474502714006228147097888032297999358011854631727469053887903808150705341009821344825491775356771948341391762880099904541219650200050163267793901550213757204765943595464604375062961352504708938625111147991734033957316493098999517212017865488982160115938313538208603858947753906250000000000000000000000000000000000000000000
[6,2] -1824367559544123106682535618346415122640689675543193095198794920738553545076733306969666560024051483966368252168418868086999066958778843503706986525604565903478409232547169351917037423647795967135286257264405342882608265716722747890865311175037281310827424638926073886630558033440077717192138166621545056764660450421364286042045637617817661532430894177536079183078050290942173597924431629567055540046454732601928300507378875257352689628192930599129150054142025998305109980464669982718483223008139057906373768014851075451872585016753720191200684676955147773894621534147522724030469841362611558238061518639822992696727082264942154838252278434915034832295647812869528861757110615931020898508215741996878018744322581706473681017111426267971586031552135184500707038403542075427948036058890849058522907245879543966070716356877113666619470916688900227756667585993405217752256609889701051649662353423669252407415004594305171232650135418041728981502984157723875773873902465682520203528997222294283024958438162860252518271408916916698217391967773437500000000000000000000000000000000000000
[6,3] 64667563026855577298126908113596020751450437838252120299776351687911286689274718421206406165165639680992207937410587014403138310370792111671759687453632724057102113802734195704532375124009912918090819140715308957356276766715107020361057611723240804671163669287261420284308289596428936383065671593157897048919637014366655461919243932026222201057310862056062738083996766879531856631240058560962005698575798891576612219419645722152936413136687913130816863439434755956217721902687332613022860418680650756381001375888109330937503912467133567800712927754525646355739406520352618886281801171365653143614300502301674348689520895595700654727856679329729098867903129686726306996048884418677039919377225861157607365197001982327845222995907989387851977229128535619615978134272243539710566455855984847308221579575949356855966352131935017088279155038657618558331428491525213919606581262117134457937065188294511313133854631069541141835919329287173510458149148971624719301900653086249411814900875657562880841174241582786086368628275522496551275253295898437500000000000000000000000000000000000
[6,4] -2379304204904676207126606763291101095544102700437482862698595563933924526174302287083773278720044828748494077926958755259493864164844640846717562992877989308098796239608348862316635378767020990633751733024835266000504960410272918007021806705922129639652414036328082486942548278231757849442911755613905163620089361416169585045032890475896720107796024138353023518835262584581222561709103591859405469470874446594433625178927042173634930172340914886037906891032054674653238984387153218786485448444462571535445300698111423961567858332858058008919061839373059324849122269662758381423352072087145551576616634806937477986695861830363440141541522281741903845856456985390000311057751245324041758535410183788438665414696545787522852804987279806288884020741187964499547472613365427522868945056704048071144074295022464318060425594552027950554511355140802960952982909528494624676499660017323846479333396846467368265213637168194271301904587938123342916917895355316813007355324933438719805988113719546593216588045724218213050615844394997111521661281585693359375000000000000000000000000000000
[6,5] 30619478495489417705461940554557722515808774604153797703205521541064431389106890454384373853305101763773672820412433655019383423531650445704910613516558074258033804336131094372232963825230968316935715678655987545919371865043064168059560593257268193057202773361941949887274733592349129558007991866337193524858251204507008830199576956570102168716405271324892108075865949674151949132531897361624311023777295761865569007928437216988634961816911837512690093079197810111617691190429729322347110418593045681055970051701838700871040477904065421403692220252378268663580526414029449753260118508971628455562292032124213182968929039945947415274602469715729726517746399773125844948124552977166277428406954902574858053130354435079409270534338986866169183234808976231103389021071953174072459864205232509670607514301549237343897799649517273237852465183219313314530094815986541588932246480602964823417227659849917701148332015291552505758698751068182622424263735149129852095945818984219962733794287849614301743665059803156669460122429882176220417022705078125000000000000000000000000000000000
[6,6] -155005297301311055276393082775304505450098869531427220038716872452703682752574469217084427910626319131782765770096637248415796411933667320417645994998544221470511991186577904540334195814087496028521131556232417182824451627347536619524350370575055528659945641935839591275049866406560788326403630404799657999064380753116730047923434290810300232217573156311381621791238161412824944655979444917321217385209770458630899168118043715383952637903453914904711805185467069656552128512735301566632911689090954166294085414094035551398529908920548069108816318022342765104676414635506945457877003691581474652630622919089105114655952846612529117723096631625789396542072007020281469001965459634340198411243570515377410526034155192016880384114567644985065561175465680328788556183753879688261045049734190229233226920554821855067788574922826399255801922214736107929324951466149637986094890083396735985820717094406716530653956994279370727037377687499256520101494830793602592796011984976441053050045667396890142609239477463484169206253682204987853765487670898437500000000000000000000000000000
[7,0] -328412414342029725412988132849840534447877391813224620505237898666849616520608001519110684044016270623084845868523146053260799833425519703624583991007759894318532500001546433673194039780658315044872613208232367802774453567424929245326340301886891885202800576794613222449878674455098767095974459487822281093358718069184587401471553122152216170048567222353494237553405504478914709502094327888426407177682026790489378328186433665071258556483766531506142447482832282692837047006190980743259507131564797247393646196265848961656268086653606411056577544049748025275095781501294842136870744366528257814050335849244088769109706026104178774165091513417790468804834848046055962158471905054240971385069199719561763332512530411492653389217762636071795860130131102925216843961060305034155592887210633036089040190929744261729971378354073798808269211823764698565921469876419165068959920103831688704537726974815206772137381531687048066904876039270696633573888533761378408967131286437516101173267416826404008212136886868393048644065856933593750000000000000000000000000000000000000000000000000000
[7,1] -224648592888918328940721254604178147237258519812301678489747809821721736815576084733141237671192008911277570986933422553900882566364452869111268996714939299222049095396097685996108399404082360016413914851264973442748376762091303250450324991701704045792551004294113682231586552621073545695362478754326601508598707885589908664709129595634771011611818319274077312066867169533079481896157410054076090420286582100125923825011773795188011641030545982928166223086074535743434454881140175918715420468743654345472245627025146546640228466380233565725886067469189375623825683783223068827477636074399001851430130049949787778632367029376076352752784361757993481352287599819905728733224152005434029820659855906023263162086476205832348879017780089725318782305755360621360409074933481738152956883380025804775033817334275921020021521968542622505537306830270121637002222627210818597942562167831741154994400170329061632686427533761686889307019527046980916163478000084723722782529175967189255640722231391157189244606184885810762352775782346725463867187500000000000000000000000000000000000000000000
[7,2] 4425773587415253102086671418505278616872133585526464109437984032498826541963992118804677335962832491764238119128292094173842388486863073831835492409369670323108008782204693876767071849336039245972980259212781293023391485692608635859248916856120924776196356153965304091609980859090561854947698177113157854053292202115419738617097639940334191067180154925096911578969698415570602391697917841788757738042843341542304121583366674145487139375493423850014314919471690731023286603897384296647308558678156818262946948396315174608299408716432803386924250278662779668289765367568826404867121266463379577616854705799678952533837002811613749570349615807798576149586716418883947075076470587621488674632222774802561516573046148223641099036400678633946946724055045015943555873347667201725179467576309826353313356735222059802463766052720840210344860886260989003228845569285736998525126463817629643927023540415294745875876385642625234495055786297923195722225257005315165273585788597108756218689892194938219916193651581881596257517230696976184844970703125000000000000000000000000000000000000000
[7,3] -21822561103182934459977435469498459113560370690368612721062379344852735087227652578145299807117167099655115186281100902311146066179258442853702878479154703274062255247041187124780545577880127401638511944440285600319272264594075784599728859598782579888553590899273263886306850625010549257559638103873881345510286356489711777943312727959552320763377084287015075640263279386012246526054199763651932461876032573415774093010997143008924929623052484196778829842782612798176874269865358596573026316709263554894073970500182252763094349837297510248388699135006087797774618216478281802466798400584077851355151822943591173933670417127404402430318493292963034923826036905090134929908155381056190279364036476206427963951510141470722987650840393239747847097027557217348259642043808962154879773742579147603697420618433332018338636328952864629773005011723865914049803634816766225458422453301293333980390518738139206474323198020519046870153176766106761114573043929149155116933681184675413082684904303968082475294505695462277117258054204285144805908203125000000000000000000000000000000000000
[7,4] 1654132615242393428046213658648483846372661344926433037440249735169611130384111512966348817723487824672261364610584633714249633480080682537931606631755800373276982463570747821363804295956481781711132294788034219223399288583236972122292677041544690732545445219194603720280930823692299797874214984774630576788351233202946471173834896800639744106822381714606853912641584711626060621553246102037248921879894356258525218645300617881698683112490023785075024040459534491853957756890730221485248888387799190645263403818490691005013954423567590914576365458245040658659029458274593161926306616218510138038601644978963651900781924119313204834183236013258394463408827246420349550844677010270782301303613466203155558636932624093926108886676585728681567184239251646090855272528857410582685779684658320125930424353907305994667218025318316563716976323799065436509022650531113179713589061616402148771485191305006539778716370646510754449387798762739587735970657772194845270770011807326863603926068432477081680983637930817953254347685287939384579658508300781250000000000000000000000000000000
[7,5] -44814211067417645819142535873511480425916945977305109644359214285971430556849808773785577172218512156733044024455144872080419453111462411220738802893923618724956459332045223991857285209520791511138573922039136231315104222318626740090223153779177782952566964429937483299949107608385199946238045824358251056985588543927622929000597874044243052175129116472399071530545597448374379303956386712052625152899738041443016750415528179062542575554074522706062676284071661313579250948909815957770815203486935622483321351134455770695291163377439617446145433123786348926825340127409635284603396169013713388066134082958514809423540503262604218685775543311537238385816920343750227007435938981672040107040920647940851689869213339949974765213788656977514886295260244788735416841120590344027851960652242046177827031158021591823961031099070544967233555524587331586500527963793546274575026203114677369626221354211853192509482132530796838809634911006017375863069941656609381010755376027546028004648874480604876754431548785406747015258588362485170364379882812500000000000000000000000000000000
[7,6] 390084369267146378719916342937803463628404406774426421918435256197894834772911522528451921781582849232443716322514106322622432993071072259764951711492679384703871843460647713834989509719154717262892757518299012773453781692525718507100207146105620791178525656056424147786189684661925789576384728490950398628897909174934657048622131713131452756752406585488452034820646897216538087989889175186300781423099433660507142440061866744183912560153725805057073930553139969704574755632950584794313838131726632063205782094916735188673898118173152336080002346980178017792364104252072377964411051456791773581201395977397278408010795472614135466266395541105581962283976216703075774495350944747958376752040322162393687441985089125651569177784203157034086860507364136082434535258076604480691644837315690551763878806481501201692749201561504310591825992153633158386625167004154995064245761758200733146941504532916266125844734653998748172009143834525857073964705372936993123827990375597623242280605813275994051729180954121711799587046698434278368949890136718750000000000000000000000000000
[7,7] -1566079716072110174763443763091807418634365080807126706552251848221001637023453216781069704980674753401046612070910434485516116693188521978737141472050862814761366409276488044456081348581497406084505181110079415131383065786384445975988971285029366538163860716704563766828030970584951499592257719210196980500444103770882887705673826002977882522767648249108982965838092013586090146616073238041799745946802144025998019486354346844878765890565705775606041088061700233215756509504235112763502852402712356049999183698017027452327754389312998672918791715858280126723021171592279891227900077404153404619530167632280893627662595834836825518958149857027835143004979127227307829446217876488638310077387716680425904181615344004870172377188649194409177359301699512173401429449268066373270015060119462298296935751297347381522295842895548207943617495748238016639066736406663359537731175834049345954079800437036713956642565070151853332008755779152009173495580798228856207792817979707297924491563084285534141951298434114470126132800942286849021911621093750000000000000000000000000000
[8,0] 559349649953442181618239264708535259050488472892626541864337346981652050113922217887290200894284153555124904716465336860995338269435119917648933708222072453379427910931029475693936351068101126314452647196028872882304223791091324802200000752763625783396079896228907820623785599752749056258544899972226586945907688091451971448704582630886865451376372302767708573068146999385700331755696767449229188484185691750916281581602462621759230061647330934725786000580321579791661391074812730920900452062032031741936995174073196715115630911675247426657032560402864625304714860894267888629414361226905565510662958526084992061777255387910784961028651842069806542152427114422590172138258325005690111769328385004789002439596474300464807820976366872743763106142674375137076101637810334170375512707915116750334711397713472773441692439536249490351132999519279574365605877287661632092089308087203402941429096760503558192873469014980428827705609891217621043394165647007076824520215385921995485494950013926089213422976342826586915180087089538574218750000000000000000000000000000000000000000000000
[8,1] 646119386071154405984364800864016670579992644972817862996101725227889297920416010421478445182802506009801619602910292454916583696692287153396764724980675050636187254016274267373760244370025127744976295963908204965976735536284564936699738190448083188070903465783807270735234654587367063104799350969004901175401757912810722462208683045940261515115215472274360818743087874196444328609321481167724271082461672912427182168072404473135992983035814535753988428369292699676759334508871952289550948436381430370768388018427819162255000031804038275114247093913723215818145241752317508464350122199391867379687868900146657883159445349825183970433539408966306532574245507338913294248301742131533282498532784235648231109509114702424896351704918751607944975915485756871988459159178230048702652059160338318965945742004499911450426865264390489119608499604164325091376743411340017947482974339517763286692268423810625297847085675103482082148760316595816911191094550463336496012512820289439603454943493290455758801867774954175160928571131080389022827148437500000000000000000000000000000000000000
