[6,0] 7405080948198400584610629291941069930359109414965632528509205087370814685309343774053119415494144982688360468898718438518908894507576484694220753740379850324123888592190988236075157425084373615706217400138648234347321641839447414423321408735870112208530553459421760489825833990444437627598429321714545930871001105108286963695578417936659152625353694011126995449438231552567473437543643462276377439025800856339924107938070835327878099760078485807591433331183515826335236143837789738784506597953077338597959517744385869212476147207785412708327459764797446254302216513803400336248110597520291210845696146767486635601458936851840414944014050482940674887321669391393016741497952252232751946413691480393700115339879094637167148126961309625555024463111570408656255774413242030025325988206812006025411049608436536073561014730285647259864006384007698423582732399102572559370908274790641386713926067033295548624629733051998618648791071870591887346531759054950324175194545251290601536908907111436517376000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[6,1] -61192235299362648123062849689521419063669967132369647488328173495592146872107797493057236223770740981637237686030604429657110011247053699162788462406497885293976214121194719705412825719890442086224766451087865179000073014065063109204368742495653125377772529607397649379390943433138681013310078234800007276437889305083364531629136060432820904054220826898044468595991056128041401969221905124713076548472617838641608767658116489643189974621520190351462604293966561241367244656719955269651724943147564417404111981689970941198127568155360777529175767915265976817654782844343643779997583750458468928294086945806942121414426114386339614534211275599363631257200461637989285890549481998098133962954117000327690647756751089449913157384090210372479401289889290481730953185083693902505461796902923402469565763067792122937275903472780457968268860966489075605572879532985694801108881513447631131793094460688981923962429548935985759701768025105123333224541075907549859895000724988954001258573698054346397188096000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[6,2] 1114902720948052710598022484903996827917584380763991610918761693876246325135960431460120462434298525751336685987649520724082368945078701230440766956337794226823368811395396123723991055460555394754413033588029593753240211144713068951968252609427229176073824578116856767914169067235010210796639005603080105816755294736052166690835126643026705546253184342924411076340063712642107187633570997736422198727764106976726711232239730987599049961417608679923015640011744500527511250125366993618619234115161197789513068295601452465384971282492963704793202004086234889008334250660873329808496205807630261518533156300471812515667835944973152099328501474951882583539838371293494428453169365937877204170130911754816031695122086091983125683114378693201520138792863184657671590886672376059241667706331506929188085620982102598453891721744590298139977739629369265838135599866342307666858822080147224366632577085051466409248682743281433686132259353740076919785991946604284971903197922182652389705608689316135697106599936000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[6,3] -5990112349811294370480880924629735750826866484542279125276052776818754495638854852923478405711679814277187008689190362027544975628139341968347199060861806660164857212195961053079063895073225114577350194613847260864710300094519128782381975144361027576975122080347701664826853377737239694828269161388276054440320938199921473114326656222889960539607747607252885568021755456147335422411016435250619041451933780608410052714941739586351927886395147331804561378847207965440877008918483151766467740293458437693573148103258606849344562983657229534304938745141204580159563700852741459537462219253789435330051580764032368122745252347945360052641039601736443595008880963552578225696405733602139194713235730837133405874178268417611903487732485010023845612521878623368890479236701176310858811808136290445644864630791410254692377400530718900855717726004936525603236518369312908395181401704049450841344160168438576101824063234751857232719043871587848943490423117582501199929317872442817520896727053404917289739786125312000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[6,4] 7175588256916523731652683952949142671361789907800896282535877005196389609723467559437862574137534559567745371148121828947005821138792378672839994687742024273821446316320492048849454000333962869606781861831156346877317943211424207834288155424212811520218693383903854107002856004240493221623863978512982016821502333530733261070847054847535236248624835395633419773505805676389783554084241151022200368243948312636744930937421889803650832585104995275923215672323583512908118621215886532684279216684109268647692954469227105406277954347261594310855342516094629642094414350583087317296278912812446422704830238761776541259060882438699234175755553645647674196998336657630381526279408411491315282110959655953246380299884000685844626072706328481644058706921452422603665116284563134307419788333802533248041257885468029969054911382408905947760380352669376227663986003081942423695614293431358568845862222087418229253874699840471467734908416294569192867540916571243263777078501177720571950804485030938871768660909752320000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[6,5] 13247491412220596043885587443486318919859781039104602653225684721490448081838909152113083147184928331261877984236604369168914575450576508155494841600970372248128246159766277712213323068636114351999046042905569043314371272906124258131653727823101770391097242154550519488891054372909253714813625616594321054602783086209011968262554585499467501258376691953850324568097977680899393677265742795163080610604215254101583611610329565629747041087591765552071967971138120811536880907088297277347547575720587161239486167426520834889711034421312287980895868014468948320859522026527755410305728609088155404278444145294380890281210463406598314106473328203206276628384812195145579252399114369651372019082515876215880923245741948605120630178015835873731490343917277627629709100154692562380259318299101031924996524797109681524314104418572130504169475575130485387004895201169874449657211163582737624124465139553710094678939255643151250373455681346433137430613057312753203109030752785750514765977507887406836654654212800512000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[6,6] 106646235099322379994238718681399693555139787280297232341921585451122222921398266295088803086572357951867831789756905651790672796791991632173115440834104642180998050836487792000074272257607296922340529626702101993935517591601982689370961181739884375640336692409397934157023190148815879937728149038143096025122088353280054468777511379193952741088730217283374363554201299884341125552058680891484890073319527224653190676484684365018444196878028380134208864214225215483052708672055370958465941615772099967913298045174079296860947001399619821776181067320777940418351125940304222203563926356890956285003732502713542308094311992204000971402553281584919811317172947405417317966163487262434130454961514109038498155413760445354682674367018028775458255065252250756059539278488899604450660561021571802626739887198268023705435048342675850537525694006425112097364075768173447952895720716760144658308943598987059561052942120281978580495503396554287838189399027301457644951018027513753312687498650133133853457029558960128000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[7,0] -10738840446934788164514667927571626729469562960114098422960392812723523596272572291753575485614130405409323487684443935437101240639173234807526180138207926692368019714014451841893308703731180540609563179864839700026900623176919398461423675308305132645711541017942916976460328491471315891528704648892721098022593595451281880522864322772177190764298948228967631405417372464643594848785096426857162294659859740637796112890640844108727495022286256308285761799209174863447435959320739628065553518452341279356710029012460361113598665489312746291196110975364675918354345889358050692456324159025527042367609224876767901753250643268616744530555997722688344842106240275026215281551804038629098900807514355260212116470711523123432701888793683051367360007986999111160481973946564803290996846925930257808427718309536567241057662507292107450192855269218795397859849445037759746771793652677017844912507918077880477430548088671223148386529876931503000429626440136505089574259200419106099863802059725059443916800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[7,1] 72413122627579848037868586210405792621017146816836508866250294857045796380090482035552147365930446586708806881718460476794261802819384340762826631742102072683930227604716086965790077658804266864053186055568230879794000257594309056167947977067942317142706026723500192206042188715257666602058664647587398933102337842243193454754860636480350245012313708857502613475904532443417657522929913724532737353255089056451731659923981628887514619974728128108169576532115442315759549509503658009271918073662517022863238060624842929373121943877079992410159372930010067457173753333677183813569440834525068016847359797023369482229621513034538100515986693611015570434361067779837154570068738033804784321946242805176451418157281812343339066542008390196780280577211690768031865724156547648741883077072114442476946280799397066332105830677492641723817567093932938460855656851315880044388085156985064760460795651274840073713404956370606152313632641619877045348389898661957162518579610841304677857918732634286858579214336000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[7,2] -1805578092819091164097161300919050527905469987781848857212126637349132505686498203875956275769786248487826619245099210377865142772045386337363042477342769127831624617576239298834159703755623251146458434763341993884238380226454618788368609744052767903789683372900768397167116680890139765468389913548994269465005727621453874015361676802216700953366153037572900466047245056389081431248685291863868896659319769405727883347512253261866738482214778639518940518820344413467909756814622651570197473009534758858353796136787968167647654291443289961697341132876619884795064326102819475375446120549416104449731951089033076676182461061733212735688448230976506138548941357620841401458269599874149479916355027344329868742255223340452061833652217295052778636417590569601863568436618109704795466386617324480109356622661067755926019896424876201006156159815922707478787812547524563322209497762429366029228242356766216341213457428515880549181649526655780614989927611928540373244646655587310008205486301866054137863311720448000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
